gene,logp
isogroup462,1.09145087765868
isogroup35027,0
isogroup1081,0
isogroup9482,0
isogroup470,0.0812285631948836
isogroup472,0
isogroup14738,0.181412465465195
isogroup1599,0.964921899265712
isogroup473,0
isogroup468.1,0.266095791642764
isogroup381,0.838925055550751
isogroup474,0
isogroup475,0
isogroup477,0.227938511270408
isogroup478,0.291394186336857
isogroup481,0
isogroup22892,0
isogroup482,0.485530483513314
isogroup453,0.0342056067913247
isogroup7541,0
isogroup484,0
isogroup415,0.0738699128069393
isogroup488,0.727156757953903
isogroup490,2.07003738821808
isogroup22913,0
isogroup4510,0.653717989026716
isogroup6486,1.20690400869473
isogroup2012,0
isogroup19279,0
isogroup3710,0
isogroup6682,2.89319534233171
isogroup23455,0.0386421010671203
isogroup494,0
isogroup499,0.435782164001144
isogroup495,0
isogroup469.1,0
isogroup384,0.416579185388908
isogroup498,0.122243971783875
isogroup489,2.10264917029104
isogroup74,1.05300759615549
isogroup32551,0
isogroup501,0
isogroup487,2.47666204504145
isogroup507,0
isogroup509,0
isogroup511,0.435986215644676
isogroup7860,0
isogroup517,0.523533138149736
isogroup518,0
isogroup2284,0.313685661374825
isogroup521,0
isogroup524,0
isogroup523,2.80869340086456
isogroup33934,0
isogroup528,0
isogroup2958,0.678166359747618
isogroup20334,1.80428001444217
isogroup531,0.5823497111117
isogroup532,0
isogroup25607,0
isogroup534,0
isogroup535,1.75682162333886
isogroup537,0
isogroup1942,0.0119315222975981
isogroup2318,0.564708741622254
isogroup15050,0
isogroup551,1.59041877490152
isogroup11725,0.196792993490805
isogroup5170,0
isogroup512,0.399676991518361
isogroup547,0
isogroup549,0
isogroup553,0
isogroup6305,0.644973078218247
isogroup565,0
isogroup555,0.937221067906378
isogroup561,0
isogroup564,0
isogroup567,0.66111260508733
isogroup637,0.544836095429336
isogroup568,0
isogroup661,0
isogroup20604,0
isogroup15412,1.15531990990207
isogroup573,4.96216622726611
isogroup579,0
isogroup574,0
isogroup577,1.08320532321519
isogroup586,0
isogroup590,0.682622780897381
isogroup548,0
isogroup582,1.4537745687526
isogroup587,0
isogroup591,1.5152716993263
isogroup593,0.858413205333088
isogroup8545,0.690583001178069
isogroup2048,0
isogroup596,0.605592008070641
isogroup599,0.103180233972249
isogroup592,0
isogroup5762,1.0380710717442
isogroup602,3.72640240507843
isogroup603,0.41488539807175
isogroup6991,0
isogroup607,0
isogroup608,0.0753446158187857
isogroup611,0.155580969536811
isogroup3770,4.92149964807941
isogroup557.1,0.570820388273994
isogroup617,0.00208408115714568
isogroup1635,0
isogroup11953,0.779025007945798
isogroup621,0
isogroup10986,0
isogroup344,0.266383813701821
isogroup628,1.19900982352341
isogroup629,0
isogroup630,0.709333030312308
isogroup8435,0
isogroup11655,0
isogroup631,0
isogroup20196,0.0049033399082561
isogroup6212,0
isogroup407.1,0.860480408544039
isogroup13149,0
isogroup10692,0
isogroup641,0
isogroup23934,0.0109495591071704
isogroup14814,0
isogroup635,0
isogroup636,0.481121853132201
isogroup644,0.0931677997873881
isogroup639,0
isogroup640,4.80377279252199
isogroup8449,0
isogroup12428,0
isogroup642,0
isogroup646,0
isogroup22513,0
isogroup2953,0
isogroup647,0.549018193901096
isogroup648,0
isogroup649,0
isogroup652,0
isogroup24142,0
isogroup654,0.735421236596756
isogroup21315,0.334999699457426
isogroup1929,1.98187774263505
isogroup656,0
isogroup657,0.326031218217058
isogroup668,0.221791204567023
isogroup658,0.0499425455764504
isogroup20119,0
isogroup491,0.833048758006666
isogroup671,0
isogroup23758,0.994290666354245
isogroup25102,1.08696827029124
isogroup665,0.722092992911398
isogroup8668,0.625470348766
isogroup12985,0
isogroup669,0
isogroup670,0
isogroup8176,0
isogroup5048,0
isogroup672,0
isogroup9756,0.545449329838122
isogroup673,1.00707604188991
isogroup685,0
isogroup20397,0.278990866138264
isogroup20070,0
isogroup3249,0.590327243158729
isogroup22899,0
isogroup680,0.123286182960271
isogroup679,0
isogroup659,0.00307114767528879
isogroup7688,0.289310036340811
isogroup10585,0
isogroup686,0
isogroup689,0
isogroup716,0.145357232962938
isogroup691,0
isogroup10404,0
isogroup694,0.536383675929073
isogroup662.1,0.64631680431907
isogroup10146,0
isogroup37396,0
isogroup2539,0
isogroup8588,0
isogroup703,2.10795333270509
isogroup702,0
isogroup6810,0.225917830024613
isogroup4377,0
isogroup693,1.75460961888637
isogroup1417,2.57118789777908
isogroup18187,0.00120202918085289
isogroup707,0
isogroup708,1.37798273987564
isogroup719,0.065472476558694
isogroup712,0
isogroup713,0.136053102744885
isogroup6592,2.85100601825105
isogroup714,0.00129848353224221
isogroup715,0.83725857016846
isogroup4791,0.00049032545388679
isogroup11684,1.46370688732011
isogroup10865,1.24159643105369
isogroup8750,0
isogroup10897,0
isogroup8714,0.687033830774992
isogroup9226,0
isogroup717,0.0199444357992737
isogroup24075,0
isogroup720,1.12940767352769
isogroup7904,1.24693470885543
isogroup9330,0.0746668568710639
isogroup2019,0.348325555835565
isogroup724,0.420862730427845
isogroup725,0
isogroup26929,0
isogroup726,1.92416564321923
isogroup314,0.82614383635357
isogroup729,0.0912808021862676
isogroup13618,0
isogroup5803,1.37454622158344
isogroup19766,0
isogroup730,0
isogroup13217,0.937816484575587
isogroup3458,0
isogroup15564,1.49341736362322
isogroup5337,0
isogroup20552,0
isogroup731,0
isogroup733,0
isogroup21315,0
isogroup4755,0
isogroup746,0
isogroup754,0
isogroup734,0.797685932088931
isogroup10908,0
isogroup736,0.618238550825987
isogroup737,1.32793608451301
isogroup739,1.07867627636938
isogroup740,0.0522302601854228
isogroup745,0
isogroup755,0.465607967124991
isogroup752,3.05078602606896
isogroup764,0.669412912465162
isogroup20462,0
isogroup757,0.00049032545388679
isogroup766,0
isogroup15196,0.250856867661972
isogroup758,0.386286111957397
isogroup763,0.931408810689296
isogroup762,0
isogroup761,0
isogroup10908,0.449354015330751
isogroup768,0.914847953216564
isogroup770,0
isogroup773,1.0226554814247
isogroup784,0
isogroup777,0.280905342951699
isogroup20260,0.0895554408646756
isogroup921,0
isogroup921,0
isogroup1180,0.824259238024185
isogroup1180,0
isogroup779,0
isogroup2130,0
isogroup20012,0
isogroup5717,0.801540679653315
isogroup783,0
isogroup785,1.76582594398921
isogroup788,0
isogroup789,1.72152068784492
isogroup791,0.0583185868586362
isogroup793,0.329397237970082
isogroup792,1.31504857887884
isogroup10996,0.74411957432207
isogroup14617,0
isogroup3512,0
isogroup801,0.0563429194936086
isogroup802,1.21091867023252
isogroup803,0
isogroup804,0
isogroup807,0
isogroup809,1.62303493708864
isogroup808,1.12282191862494
isogroup1308,0
isogroup6132,1.01930112813814
isogroup599,0
isogroup5745,0.23903621881027
isogroup813,0
isogroup10405,0
isogroup9947,0.297770390418794
isogroup3927,1.66652871529946
isogroup30906,0.89570046096352
isogroup17876.1,1.24543375878772
isogroup814,0
isogroup815,0
isogroup8015,2.02625029825216
isogroup29481,0
isogroup2737,0.32164251313866
isogroup827,0
isogroup647.1,0.612324362792841
